妙先生,"动画,奇幻,冒险",2020-07-31中国大陆上映
1917,"剧情,战争,历史",2020-08-07中国大陆上映
误杀,"剧情,犯罪",2020-07-20中国大陆重映
星际穿越,"剧情,科幻,冒险",2020-08-02中国大陆重映
釜山行2：半岛,"动作,惊悚",2020-07-15韩国上映
抵达之谜,"剧情,爱情,青春",2020-07-31中国大陆上映
我在世界城等你,短片,2016-05-16中国大陆上映
刺猬索尼克,"动画,冒险,喜剧",2020-07-31中国大陆上映
唐人街探案2,"喜剧,动作,悬疑",2018-02-16中国大陆上映
泰迦奥特曼剧场版：新生代之巅,"科幻,冒险",2020-08-07日本上映
